timestamp,j0_pos,j0_vel,j1_pos,j1_vel,j2_pos,j2_vel,j3_pos,j3_vel,j4_pos,j4_vel,j5_pos,j5_vel,j6_pos,j6_vel,j7_pos,j7_vel,j8_pos,j8_vel,j9_pos,j9_vel
103.6787,12.500000,45.000000,0.092126,0.010990,1.920920,0.010990,-2.398527,-0.010990,-0.517471,-0.010990,-0.006294,0.032967,0.079919,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
103.6887,12.500000,45.000000,0.092126,0.032967,1.920539,0.010990,-2.398527,-0.010990,-0.517471,-0.010990,-0.006294,0.032967,0.079919,-0.010990,-1.790837,-0.054947,2.263485,0.010990,0.601015,0.010990
103.6988,12.500000,45.000000,0.091744,-0.010990,1.920539,0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006294,0.010990,0.080300,0.032967,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
103.7089,12.500000,45.000000,0.092126,0.032967,1.920920,-0.032967,-2.398527,0.010990,-0.517471,-0.010990,-0.006294,0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.032967
103.7188,12.500000,45.000000,0.092126,0.032967,1.920920,0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006676,-0.032967,0.080300,0.010990,-1.790456,0.010990,2.263485,0.032967,0.601015,0.054947
103.7288,12.500000,45.000000,0.092126,0.010990,1.920920,0.010990,-2.398146,0.010990,-0.517471,-0.010990,-0.006294,-0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,-0.010990,0.601015,0.010990
103.7389,12.500000,45.000000,0.092126,-0.010990,1.920539,0.010990,-2.398527,0.010990,-0.517471,-0.010990,-0.006294,-0.010990,0.079919,0.010990,-1.790456,-0.010990,2.263485,0.032967,0.601015,0.010990
103.7487,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398527,0.010990,-0.517471,-0.010990,-0.006294,0.010990,0.080300,-0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,-0.010990
103.7589,12.500000,45.000000,0.092126,-0.010990,1.920920,-0.010990,-2.398527,-0.010990,-0.517471,0.010990,-0.006294,0.010990,0.079919,0.010990,-1.790456,0.010990,2.263485,0.010990,0.601015,-0.010990
103.7688,12.500000,45.000000,0.091744,0.010990,1.920539,-0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006294,-0.010990,0.079919,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
103.7788,12.500000,45.000000,0.091744,-0.010990,1.920539,-0.010990,-2.398527,-0.010990,-0.517090,0.010990,-0.006676,-0.010990,0.080300,0.010990,-1.790456,-0.032967,2.263485,-0.010990,0.601015,0.010990
103.7887,12.500000,45.000000,0.092126,0.032967,1.920539,-0.010990,-2.398146,0.010990,-0.517471,0.010990,-0.006294,0.010990,0.079919,0.010990,-1.790456,-0.010990,2.263485,0.032967,0.601015,0.032967
103.7988,12.500000,45.000000,0.092126,0.010990,1.920920,-0.032967,-2.398527,0.010990,-0.517471,0.032967,-0.006294,0.010990,0.079919,0.032967,-1.790456,-0.010990,2.263103,0.010990,0.601015,0.010990
103.8089,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006294,0.010990,0.080300,0.032967,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
103.8187,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398527,-0.010990,-0.517471,0.010990,-0.006294,0.010990,0.080300,0.032967,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
103.8287,12.500000,45.000000,0.091744,0.010990,1.920539,-0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006294,0.010990,0.079919,0.010990,-1.790456,-0.032967,2.263485,0.010990,0.601015,0.010990
103.8388,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398527,0.010990,-0.517471,-0.010990,-0.006676,0.010990,0.079919,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601397,0.010990
103.8487,12.500000,45.000000,0.092126,0.032967,1.920539,0.010990,-2.398527,-0.010990,-0.517471,0.010990,-0.006294,-0.010990,0.079919,0.032967,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
103.8588,12.500000,45.000000,0.092126,-0.010990,1.920920,-0.010990,-2.398527,0.010990,-0.517471,-0.010990,-0.006294,0.010990,0.080300,0.032967,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
103.8687,12.500000,45.000000,0.091744,0.010990,1.920920,-0.010990,-2.398527,0.010990,-0.517471,0.032967,-0.006294,0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
103.8787,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006676,-0.010990,0.079919,-0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
